userid,name,editcount,registration,groups,emailable,gender,invalid,blockid,blockedby,blockedbyid,blockreason,blockedtimestamp,blockexpiry,blocknocreate,blockowntalk,blockedtimestampformatted,blockemail,blockpartial
17557741.0,Perep80,28.0,2012-09-22T09:53:43Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
18054835.0,The Eloquent Peasant,156826.0,2012-12-09T18:59:54Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,female,,,,,,,,,,,,
25700079.0,Extended Cut,17127.0,2015-07-06T08:54:17Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
1132768.0,VanHelsing.16,2762.0,2006-03-23T16:54:31Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
9761029.0,UP9,390.0,2009-05-25T17:33:35Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
37121346.0,Allio19,3991.0,2019-08-12T17:02:29Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
4871659.0,Mx. Granger,71384.0,2007-07-16T02:28:02Z,"['extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
9628005.0,Irshav,3073.0,2009-05-07T11:12:24Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
26685289.0,Miller.bird0,382.0,2015-11-02T09:41:23Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
21854733.0,Adûnâi,4023.0,2014-07-17T20:52:01Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,9991115.0,Ohnoitsjamie,507787.0,[[WP:No personal attacks|Personal attacks]] or violations of the [[WP:Harassment|harassment]] policy: homophobic hate speech ,2020-08-03T14:05:34Z,infinite,,,"14:05, 3 August 2020",,
15458982.0,TheDraperyFalls,11312.0,2011-10-04T07:05:08Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
1670386.0,Yellowdesk,23646.0,2006-06-23T11:32:49Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
345121.0,Tullie,284.0,2005-07-26T02:39:40Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
531176.0,Primyk,9.0,2005-10-26T20:23:03Z,"['*', 'user']",,unknown,,,,,,,,,,,,
,65.23.230.146,,,,,,,,,,,,,,,,,
36365.0,Lysy,21125.0,2004-01-03T22:33:33Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
61482.0,Mzajac,66545.0,2004-06-08T22:15:05Z,"['autoreviewer', 'extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
146684.0,DV8 2XL,6808.0,2004-12-08T19:50:56Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,129.173.172.152,,,,,,,,,,,,,,,,,
,142.227.233.1,,,,,,,,,,,,,,,,,
919772.0,Eliashc,3928.0,2006-02-11T20:48:53Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
11049176.0,Uanfala,65714.0,2009-11-18T20:21:03Z,"['autoreviewer', 'extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
32206216.0,HueMan1,84819.0,2017-10-22T03:31:41Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
17794675.0,Ozzie10aaaa,232900.0,2012-10-30T19:22:23Z,"['autoreviewer', 'extendedconfirmed', 'patroller', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
37663763.0,Serbianboy87,1796.0,2019-10-23T22:37:04Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
8766034.0,Chongkian,399772.0,2009-01-19T19:00:37Z,"['autoreviewer', 'eventcoordinator', 'extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
24919105.0,17jiangz1,3633.0,2015-04-24T04:14:16Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
24700156.0,Pchr8,110.0,2015-04-09T07:25:47Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
8396030.0,Sophivorus,6000.0,2008-11-25T13:32:18Z,"['extendedconfirmed', 'templateeditor', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
330828.0,Amakuha,3736.0,2005-07-13T01:55:26Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
7183365.0,Smeagol 17,62531.0,2008-05-26T08:14:03Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
153365.0,Tariqabjotu,36384.0,2005-06-26T03:02:24Z,"['sysop', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,,,
37858148.0,Starzoner,143882.0,2019-11-18T02:53:02Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,10444906.0,Nick,319064.0,Abusing [[WP:Sock puppetry|multiple accounts]]: [[User:Winterysteppe]],2021-03-20T16:26:46Z,infinite,,,"16:26, 20 March 2021",,
35936988.0,JJMC89 bot III,4691840.0,2019-02-24T00:18:52Z,"['bot', 'sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
38454508.0,Capewearer,11045.0,2020-02-02T20:53:10Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,10177207.0,TonyBallioni,5527268.0,{{checkuserblock-account}}: BKFIP,2020-11-13T20:43:32Z,infinite,,,"20:43, 13 November 2020",,
192596.0,Sikander,8141.0,2005-04-22T00:15:34Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,,,
33788042.0,Love of Corey,54576.0,2018-05-17T20:51:33Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,19513375.0,Moneytrees,33316798.0,"{{checkuserblock-account}}: See [[Wikipedia:Sockpuppet investigations/DisuseKid]], abusing talk",2023-04-30T03:00:33Z,infinite,,,"03:00, 30 April 2023",,
38720665.0,MD-wiki-user,287.0,2020-03-07T20:36:48Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
38910429.0,LSGH,59406.0,2020-04-02T10:23:20Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
38715762.0,HelperAnt,573.0,2020-03-07T05:02:28Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
39772724.0,Windows XP build 2542,315.0,2020-07-19T13:38:20Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
693352.0,Yulia Romero,69430.0,2006-01-21T22:40:45Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
7611264.0,AnomieBOT,7185758.0,2008-08-07T17:09:33Z,"['bot', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
493807.0,Steam5,73215.0,2005-10-12T05:10:52Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
37586127.0,RicardoNixon97,882.0,2019-10-14T10:55:14Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
937705.0,Iridescent,402830.0,2006-02-15T14:37:33Z,"['sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
40241368.0,Mithila Madawa Gunathilake,3234.0,2020-09-26T12:54:28Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
40853603.0,Haziq Nur Iman,115.0,2020-12-26T03:28:47Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,10329677.0,ToBeFree,16759563.0,Persistent addition of [[WP:INTREF|unsourced content]]; [[WP:DISRUPTSIGNS|ignoring community concerns]] about the behavior voiced at [[User talk:Haziq Nur Iman]],2021-01-24T16:20:58Z,infinite,,,"16:20, 24 January 2021",,
16449160.0,Uanyc,92.0,2012-03-10T03:06:18Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
2278355.0,Keith D,583276.0,2006-09-19T22:51:51Z,"['autoreviewer', 'sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
746573.0,Peter Menke,57.0,2006-01-02T20:44:50Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
40242643.0,Gexajutyr,213.0,2020-09-26T17:02:52Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,10604524.0,Canterbury Tail,73920.0,[[WP:Disruptive editing|Disruptive editing]]: Blatant violation of topic ban they agreed to as a condition of their previous indefinite block unblock.,2021-06-07T01:38:34Z,infinite,,,"01:38, 7 June 2021",,
86923.0,Mani1,8827.0,2004-07-18T07:10:28Z,"['reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
113803.0,Perceval,6294.0,2004-10-05T15:09:49Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,,,
6523.0,172,24875.0,2002-12-23T09:46:01Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,1561730.0,Hersfold,3075976.0,[[WP:EVADE|Evasion of site ban]]: [[User:Cognition]] (checkuser confirmed),2009-09-04T23:05:25Z,infinite,,,"23:05, 4 September 2009",,
439789.0,Kuban kazak,13061.0,2005-09-17T13:12:07Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,76.223.78.139,,,,,,,,,,,,,,,,,
,66.4.15.208,,,,,,,,,,,,,,,,,
16460235.0,Khazar2,191299.0,2012-03-12T05:10:37Z,"['reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
21256635.0,Euroserhi,113.0,2014-04-24T10:48:07Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,5.173.163.152,,,,,,,,,,,,,,,,,
38775806.0,Ukrdaddy,9.0,2020-03-15T16:22:24Z,"['*', 'user', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
14082825.0,T-resh,18812.0,2011-02-26T18:38:42Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,94.153.31.105,,,,,,,,,,,,,,,,,
,128.124.8.249,,,,,,,,,,,,,,,,,
,80.84.189.180,,,,,,,,,,,,,,,,,
,94.178.235.125,,,,,,,,,,,,,,,,,
,77.252.47.155,,,,,,,,,,,,,,,,,
,91.226.252.96,,,,,,,,,,,,,,,,,
14130529.0,Ostap.rest,2.0,2011-03-05T20:25:34Z,"['*', 'user', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
678051.0,Valenciano,65981.0,2005-12-13T11:49:45Z,"['autoreviewer', 'extendedconfirmed', 'patroller', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
11844353.0,Javert2113,21277.0,2010-03-05T01:29:59Z,"['autoreviewer', 'extendedconfirmed', 'patroller', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
22826654.0,Tensorproduct,2087.0,2014-10-12T18:43:55Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
23906923.0,AlexLefty,135.0,2015-01-26T08:59:20Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,213.78.80.38,,,,,,,,,,,,,,,,,
,130.238.65.18,,,,,,,,,,,,,,,,,
6273.0,Mic,17739.0,2002-10-15T02:18:59Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
46962.0,Genyo,586.0,2004-02-25T17:41:03Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
31082.0,Nateji77,3657.0,2003-11-19T13:32:20Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,38.139.36.111,,,,,,,,,,,,,,,,,
279219.0,RussBot,1441165.0,2005-05-26T15:46:02Z,"['bot', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,172.202.173.230,,,,,,,,,,,,,,,,,
,82.144.200.5,,,,,,,,,,,,,,,,,
10444015.0,Zakawer,2431.0,2009-08-30T17:00:46Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
6461930.0,Vikram maingi,33911.0,2008-02-17T15:10:19Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
199625.0,DePiep,294285.0,2005-02-26T14:48:50Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,19499496.0,Tamzin,17820167.0,[[WP:CBAN|Sitebanned by the community]] per [[Special:Permalink/1152937154#Proposal: Community Ban (CBan) for DePiep|AN/I discussion]],2023-04-28T11:42:53Z,infinite,,,"11:42, 28 April 2023",,
16733028.0,Kanghuitari,43261.0,2012-04-29T04:42:37Z,"['autoreviewer', 'extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,134.176.66.174,,,,,,,,,,,,,,,,,
397664.0,Curpsbot-unicodify,29655.0,2005-08-22T21:56:08Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,68.146.114.91,,,,,,,,,,,,,,,,,
,194.74.176.98,,,,,,,,,,,,,,,,,
,24.241.125.15,,,,,,,,,,,,,,,,,
,64.237.158.242,,,,,,,,,,,,,,,,,
9595.0,Djnjwd,2731.0,2003-03-30T03:25:06Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
1225004.0,KPbIC,1149.0,2006-04-09T00:07:46Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
569133.0,Ben-Velvel,1142.0,2005-11-10T11:16:34Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
82835.0,Rich Farmbrough,1736392.0,2004-05-02T20:34:16Z,"['abusefilter', 'autoreviewer', 'extendedconfirmed', 'filemover', 'ipblock-exempt', 'reviewer', 'rollbacker', 'templateeditor', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
3099496.0,Yarillastremenog,136.0,2006-12-24T23:52:53Z,"['*', 'user', 'autoconfirmed']",,unknown,,371325.0,MrDarcy,171631.0,sockpuppet of [[User: Jeff Barnett]] (proven by checkuser),2007-01-24T22:51:25Z,infinite,,,"22:51, 24 January 2007",,
,72.161.211.139,,,,,,,,,,,,,,,,,
1277522.0,M.K,13165.0,2006-04-18T17:02:53Z,"['reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
725438.0,DDima,41732.0,2005-12-26T16:20:44Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
32233.0,Halibutt,34067.0,2003-11-27T23:21:48Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
1030730.0,Nobleeagle,6780.0,2006-03-05T01:48:29Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,61.102.45.248,,,,,,,,,,,,,,,,,
724413.0,Riurik,4236.0,2005-12-26T05:36:28Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,70.63.84.177,,,,,,,,,,,,,,,,,
,213.184.130.110,,,,,,,,,,,,,,,,,
2377464.0,Ioakinf,371.0,2006-10-02T09:57:40Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
2796964.0,STBotD,39144.0,2006-11-19T11:58:10Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
1358718.0,Pustelnik,20547.0,2006-05-02T01:14:54Z,"['reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
294809.0,Alex Bakharev,49617.0,2005-06-11T22:12:46Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,,,
,144.35.254.5,,,,,,,,,,,,,,,,,
,81.157.37.26,,,,,,,,,,,,,,,,,
,207.112.30.60,,,,,,,,,,,,,,,,,
2910303.0,Useight,79031.0,2006-12-02T01:02:26Z,"['bureaucrat', 'sysop', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
16528233.0,Isaidnoway,70882.0,2012-03-23T16:20:02Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
147410.0,Ghirlandajo,90591.0,2004-12-06T16:45:36Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,165.230.221.59,,,,,,,,,,,,,,,,,
968907.0,£,515.0,2006-02-21T15:52:58Z,"['*', 'user', 'autoconfirmed']",,unknown,,381268.0,Renata3,320236.0,Sockpuppet of [[user:Bloomfield]],2007-02-02T02:30:23Z,infinite,,,"02:30, 2 February 2007",,
96351.0,Dm526,71.0,2004-12-01T03:03:03Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,71.139.198.204,,,,,,,,,,,,,,,,,
419920.0,"That Guy, From That Show!",23737.0,2005-12-19T04:30:38Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
12786.0,Dying,11773.0,2004-12-26T01:03:41Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
38807514.0,Tvorozhok,8.0,2020-03-20T03:40:34Z,"['*', 'user', 'oathauth-twofactorauth']",,unknown,,9678808.0,Ymblanter,14596827.0,[[WP:Vandalism-only account|Vandalism-only account]],2020-03-20T06:37:17Z,infinite,,,"06:37, 20 March 2020",,
14596827.0,Ymblanter,285007.0,2011-05-17T10:59:34Z,"['autoreviewer', 'sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
,91.124.169.113,,,,,,,,,,,,,,,,,
,37.151.19.210,,,,,,,,,,,,,,,,,
,158.233.246.29,,,,,,,,,,,,,,,,,
,94.153.6.216,,,,,,,,,,,,,,,,,
,37.57.177.188,,,,,,,,,,,,,,,,,
37420865.0,Gagarin07,1.0,2019-09-23T09:50:10Z,"['*', 'user']",,unknown,,,,,,,,,,,,
,95.134.123.51,,,,,,,,,,,,,,,,,
,87.8.124.110,,,,,,,,,,,,,,,,,
4492.0,Boud,33579.0,2003-03-12T19:24:29Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
38337308.0,Без названия3445,4.0,2020-01-19T14:28:45Z,"['*', 'user']",,unknown,,,,,,,,,,,,
7264712.0,LuK3,95914.0,2008-06-07T14:06:41Z,"['suppress', 'sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
,37.73.214.205,,,,,,,,,,,,,,,,,
,117.207.26.16,,,,,,,,,,,,,,,,,
31863615.0,Unknown4321unknown,15424.0,2017-09-05T12:49:22Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
44020.0,Everyking,155603.0,2004-02-13T00:10:43Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
9676078.0,I dream of horses,572256.0,2009-05-13T20:36:29Z,"['autoreviewer', 'extendedconfirmed', 'extendedmover', 'patroller', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,female,,,,,,,,,,,,
1542045.0,Vetalius,33.0,2006-06-01T12:24:10Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
38539809.0,Gordo489,157.0,2020-02-13T11:22:38Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
15996738.0,BattyBot,1957929.0,2011-12-30T00:06:00Z,"['bot', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
2790592.0,KylieTastic,527512.0,2006-11-18T15:15:09Z,"['autoreviewer', 'sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,194.50.125.227,,,,,,,,,,,,,,,,,
36306465.0,Rygor2002,6.0,2019-04-11T18:14:27Z,"['*', 'user', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,24.7.63.32,,,,,,,,,,,,,,,,,
,195.138.74.133,,,,,,,,,,,,,,,,,
,128.100.69.57,,,,,,,,,,,,,,,,,
1402990.0,Mercury~enwiki,9783.0,2006-05-09T02:13:02Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,71.252.120.200,,,,,,,,,,,,,,,,,
,71.242.220.10,,,,,,,,,,,,,,,,,
318707.0,Lexicon,15662.0,2005-07-04T14:43:24Z,"['sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
2964546.0,Idioma-bot,55031.0,2006-12-07T20:32:11Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
65156.0,Vasile,2256.0,2004-05-13T21:51:57Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
723279.0,Ligulembot,11449.0,2005-12-25T16:53:14Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
458237.0,Wehwalt,156160.0,2005-09-26T19:44:22Z,"['autoreviewer', 'sysop', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,200.72.196.218,,,,,,,,,,,,,,,,,
23407.0,Carlossuarez46,501458.0,2003-09-21T23:54:06Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
274973.0,TSO1D,5006.0,2005-05-22T16:17:59Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
764357.0,Kingfish,903.0,2006-01-08T03:59:49Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
28102886.0,JaventheAlderick,7496.0,2016-04-16T12:37:11Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
,77.122.3.191,,,,,,,,,,,,,,,,,
2970138.0,WWGB,158135.0,2006-12-08T11:16:42Z,"['autoreviewer', 'extendedconfirmed', 'patroller', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
,188.163.8.247,,,,,,,,,,,,,,,,,
24886985.0,Olvin,61.0,2015-04-22T07:40:03Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
,2A02:2F08:103:A800:8174:5DBB:B168:F658,,,,,,,,,,,,,,,,,
26398660.0,CLCStudent,315516.0,2015-09-30T19:37:10Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,10405207.0,TonyBallioni,5527268.0,{{checkuserblock-account}},2021-02-23T21:59:41Z,infinite,,,"21:59, 23 February 2021",,
,176.100.15.190,,,,,,,,,,,,,,,,,
31634280.0,X1\,23762.0,2017-08-01T23:37:22Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,77.254.14.224,,,,,,,,,,,,,,,,,
,91.226.253.96,,,,,,,,,,,,,,,,,
