article,user,date,comment,llm_output,weaponised,year,user_type
History of Ukraine,151.199.45.131,2006-08-26T01:54:45Z,/* Further reading */,"Added a reference to Wiktor Poliszczuk's work titled ""Bitter truth: The testimony of a Ukrainian"".

Not Weaponised. The addition of a reference does not inherently carry a weaponised narrative; it appears to be a scholarly contribution to the topic of Ukrainian history.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,PoccilScript,2006-09-01T09:53:09Z,Image replacement: Image at [[:Image:Kievska_rus01.png]] is now available on [[Commons:Main Page|Wikimedia Commons]] as [[Commons:Image:Kievska_rus_9th_century.png]].,"Changed the image reference from ""Kievska rus01.png"" to ""Kievska_rus_9th_century.png"".

Not Weaponised – The change is a technical update to an image reference and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,141.149.187.165,2006-08-22T20:53:49Z,/* Further reading */,"Added a reference to a book titled ""Bitter truth"": The criminality of the Organization of Ukrainian Nationalists (OUN) and the Ukrainian Insurgent Army (UPA), the testimony of a Ukrainian.

Not Weaponised. The addition of this reference appears to provide a historical perspective without overtly promoting a specific narrative or agenda that could be considered weaponisation of cultural heritage.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,83.36.179.195,2006-09-24T17:05:39Z,"/* First World War, the revolutions and aftermath */","Added context about the libertarian army of Nestor Makhno and its role during the period of the First World War and subsequent revolutions.

Not Weaponised. The addition provides historical context without employing weaponised language or narratives that could be seen as promoting a specific political agenda.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,Kralizec!,2006-11-02T17:24:09Z,Disambiguate [[Soviet republic]] to [[Republics of the Soviet Union]] using [[:en:Wikipedia:Tools/Navigation_popups|popups]],"Changed ""Soviet republic"" to ""Republics of the Soviet Union"" for disambiguation.

Not Weaponised. The change is a technical adjustment for clarity and does not introduce any weaponised language or narratives.",Not Weaponised,2006,Registered
History of Ukraine,Khoikhoi,2006-11-02T05:50:28Z,/* Further reading */ rm self-promo,"Removed a reference to ""Ivan Katchanovski. 'Cleft Countries: Regional Political Divisions and Cultures in Post-Soviet Ukraine and Moldova'"".

Not Weaponised. The change appears to be a removal of a self-promotional reference rather than a shift in narrative or perspective related to cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,Irpen,2006-11-03T05:02:48Z,/* Kievan Rus’ */,"Rephrased the sentence about the decline of Rus' principalities, removing a line break for smoother reading.

Not Weaponised. The changes made do not introduce any weaponised language or narratives; they simply improve the flow of the text without altering its meaning or context.",Not Weaponised,2006,Registered
History of Ukraine,24.183.100.38,2007-02-08T22:35:42Z,/* Transcarpathia under Czechoslovakia and Hungary */,"Removed the section ""Transcarpathia under Czechoslovakia and Hungary"".

Not Weaponised. The change appears to be a straightforward removal of a historical section without introducing any weaponised language or narratives.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,24.183.100.38,2007-02-08T22:39:46Z,/* Independence */,"Removed sections related to Galicia, Volhynia, Bukovina, and Transcarpathia under various foreign rules, as well as extensive details about Ukraine in World War II, including the Nazi invasion and its aftermath.

Not Weaponised. The removed content primarily consists of historical context and does not employ language that promotes a specific narrative or perspective that could be considered weaponization of cultural heritage.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,68.252.50.194,2007-02-14T00:29:09Z,,"Changed the text to include ""Ukraine is awesome!!"" after the template for the history of Ukraine.

Not Weaponised. The addition is a subjective expression of pride and does not contain any weaponisation terms or narratives related to cultural heritage.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,64.228.148.177,2007-02-28T22:35:48Z,/* Further reading */,"Removed a reference to Wiktor Poliszczuk's work titled ""Bitter truth: The testimony of a Ukrainian"".

Not Weaponised – The change involves the removal of a specific reference without introducing any contentious language or narratives related to cultural heritage.",Not Weaponised,2007,Anonymous (IP)
COVID-19 pandemic in Ukraine,Citation bot,2020-03-27T23:22:04Z,Alter: template type. | You can [[WP:UCB|use this bot]] yourself. [[WP:DBUG|Report bugs here]]. | Activated by [[User:Timrollpickering]] | [[Category:2019–20 coronavirus pandemic by country and territory]] | via #UCB_Category,"Changed citation formatting from ""Cite"" to ""citation"" in multiple instances.

Not Weaponised – The changes are purely technical, focusing on citation formatting without altering the content or introducing any politically charged language.",Not Weaponised,2020,Bot
COVID-19 pandemic in Ukraine,AshFox,2020-03-28T13:29:21Z,,"Changed the color codes in the legend for confirmed COVID-19 cases by oblast.

Not Weaponised – The change is purely technical, involving color code adjustments for a legend in a pandemic infobox, with no implications related to cultural heritage or weaponisation narratives.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Noel baran,2020-03-29T07:57:54Z,upd,"Changed confirmed cases from 311 to 418, suspected cases from 1712 to 1966, and deaths from 8 to 9.

Not Weaponised. The changes are purely statistical updates regarding COVID-19 case numbers in Ukraine and do not reflect any cultural or political narratives.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-29T10:19:49Z,/* Statistics */ cover URLs using citation template giving work and title in Ukrainian and English.  Added the cited times in brackets to the English language title,"Changed citation format for multiple Facebook links to include titles in both Ukrainian and English, along with additional citation details.

Not Weaponised – The changes are technical in nature, focusing on citation formatting and do not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Perep80,2020-03-29T00:27:43Z,Updates to table of daily cases,"Described change: Added new columns for ""Death rate"" and ""Positive tests rate"" along with corresponding data entries.

Weaponised: Not Weaponised. The changes are purely statistical updates related to COVID-19 case reporting and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-29T10:24:37Z,/* Cases by region */,"Changed the phrasing of a sentence regarding data from occupied territories by adjusting the placement of ""and"" in the list of regions.

Not Weaponised – The change is purely grammatical and does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-30T07:18:27Z,/* Timeline */ archive link for 29 March,"Changed the archive link for the Ministry's announcement on 29 March.

Not Weaponised – The change is a technical update to a citation link and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-29T11:55:49Z,/* Statistics */,"Changed a reference format in the citation.

Not Weaponised. The change is a technical adjustment to a citation format and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-30T07:38:06Z,/* Cases by region */ further updates as the Ministry of Health page is updated,"Changed numerical values in a table related to health statistics for Ternopil Oblast and Khmelnytskyi Oblast.

Not Weaponised – The changes are purely numerical updates without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-30T07:47:26Z,update infobox,"Changed confirmed_cases from 475 to 480, suspected_cases from 2264 to 2,264, and deaths from 10 to 11.

Not Weaponised. The changes are purely numerical updates related to health statistics and do not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-30T07:29:59Z,/* Cases by region */ partial update of table - the Ministry of Health update seems incompletely updated,"Changed the reported date from March 29, 2020, to March 30, 2020, and updated various case numbers in the table.

Not Weaponised – The changes are factual updates related to health data and do not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-29T12:05:02Z,/* Timeline */ explanation for the reduction in reported cases in Dnipropetrovsk and Mykolaiv oblasts,"Changed the phrasing regarding the reported cases in Dnipropetrovsk and Mykolaiv oblasts, specifically moving two cases to the statistics for Kiev.

Not Weaponised – The change is a factual update regarding COVID-19 case reporting and does not contain any language that weaponizes cultural heritage or promotes a specific narrative.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Perep80,2020-03-30T19:29:28Z,Updates to table of daily cases - March 30 evening,"Changed the values in a table related to daily COVID-19 case counts for March 30, 2020.

Not Weaponised. The changes are purely numerical updates to a table and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-31T10:50:46Z,/* Statistics */ put the dominating graphs in a table so they do not crush the references section,"Changed the format of the graphs from a list to a table for better organization.

Not Weaponised. The change is purely structural and does not involve any language or content that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-31T10:43:08Z,/* Statistics */ add source,"Added a reference source and a new section titled ""Cases by region"".

Not Weaponised. The changes are factual and related to the presentation of statistical information without any loaded language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Perep80,2020-03-31T19:14:50Z,Updates to table of daily cases - March 31 evening,"Changed the formatting of data in a table related to daily COVID-19 cases, including updates to timestamps and case numbers.

Not Weaponised – The changes are purely technical and related to data presentation without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-31T10:58:32Z,/* Cases by region */ updated data on dead by oblast from Centre for Public Health of Ukraine's Facebook page,"Changed the reported number of deaths in specific regions from 2 to 3 in Rivne Oblast and from 1 to 2 in Chernivtsi Oblast.

Not Weaponised – The changes are factual updates regarding health data and do not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-04-01T07:29:01Z,/* Cases by region */ update oblasts for cases,"Changed values in the table for various oblasts, increasing the case numbers for several regions.

Not Weaponised – The changes are numerical updates to case counts in a table format, which do not carry any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,The Eloquent Peasant,2020-04-01T11:05:02Z,/* top */add short description per WP:SHORT DESC,"Added a short description: ""{{short description|Details of ongoing pandemic in Ukraine}}"".

Not Weaponised. The change provides a factual description of the pandemic situation in Ukraine without employing any loaded or biased language.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Extended Cut,2020-04-02T13:26:59Z,/* Timeline */,"Rephrased the date of death for clarity.

Not Weaponised. The changes made are factual and do not include any language that could be interpreted as weaponising cultural heritage or promoting a specific narrative.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-04-02T07:41:28Z,/* Cases by region */ update,"Changed the reported COVID-19 case numbers for various regions in Ukraine, updating the data from April 1, 2020, to April 2, 2020, and adjusting the totals accordingly.

Not Weaponised – The changes are purely factual updates regarding COVID-19 statistics and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-04-03T07:46:32Z,update infobox,"Changed confirmed cases, suspected cases, recovery cases, and deaths statistics in the infobox.

Not Weaponised – The changes are purely statistical updates related to the COVID-19 pandemic and do not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,VanHelsing.16,2020-04-05T08:26:59Z,"update, same source","Changed confirmed, suspected, recovery, and death case numbers related to the coronavirus pandemic in Ukraine.

Not Weaponised. The changes are factual updates regarding health statistics and do not contain any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-06T06:58:18Z,/* Statistics */,"Changed the date format in a statistical chart from ""Apr 5"" to ""5 Apr"".

Not Weaponised – The change is purely technical and relates to formatting without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-06T06:56:35Z,Added stats for 6 April,"Changed the data points in the chart by adding new entries for ""April 5"" in the x-axis and adjusting the corresponding y-values for new cases, recoveries, and deaths.

Not Weaponised – The changes are purely statistical and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-06T09:30:15Z,"Added cumulative graph of total confirmed, active, recovered and fatal cases","Added a cumulative graph of total confirmed, active, recovered, and fatal cases.

Not Weaponised – The change is purely informational, adding a graph to present data without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Allio19,2020-04-06T20:48:00Z,/* Timeline */,"**Added Background section detailing the COVID-19 outbreak and its characteristics.**

Not Weaponised. The content added is factual and pertains to a global health issue without any cultural or political bias that could be construed as weaponizing cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-06T20:41:27Z,Added positive tests rate for the 5th of April,"Changed the positive tests rate from ""2.56"" to ""18.33"" for the 5th of April.

Not Weaponised – The change is a numerical update regarding COVID-19 statistics and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-07T07:08:32Z,Added data for the 6th of April to 4 graphs,"Added data for the 6th of April to 4 graphs.

Not Weaponised – The changes made in the revision are purely numerical updates to data graphs, with no language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Mx. Granger,2020-04-07T20:36:03Z,"removing - information about UK classifications isn't relevant to this article, and the other information should be centralized at the main articles to avoid difficulties updating it","Removed information about UK classifications related to COVID-19.

Not Weaponised – The change focuses on the relevance of information to the article and does not invoke any cultural or political narratives that could be considered weaponisation.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-07T16:56:45Z,Added 'so-called' and 'annexed',"The change made is the addition of the phrases ""so-called"" and ""annexed"" in reference to the Donetsk People's Republic, Luhansk People's Republic, and the Republic of Crimea.

Weaponised. The use of ""so-called"" delegitimizes the entities mentioned, framing them as unrecognized or false, while ""annexed"" implies a negative connotation regarding the status of Crimea, aligning with narratives that challenge the legitimacy of Russian claims.",Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-08T07:32:57Z,Removed old graphs which hasn't been updated for 5 days,"Removed old graphs which haven't been updated for 5 days.

Not Weaponised – The change involves the removal of outdated graphical data related to COVID-19 statistics in Ukraine, which does not contain any language or narratives that could be considered weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Irshav,2020-04-07T21:29:55Z,/* Cases by region */,"The change made in this revision involves the following: ""Updated numerical values in a table related to various Oblasts, increasing counts in several regions.""

Not Weaponised. The changes appear to be purely numerical updates without any language that could be interpreted as weaponising cultural heritage or promoting a specific narrative.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-08T07:09:32Z,Added data for the 7th of April,"Added data for the 7th of April and updated statistics for the 8th of April.

Not Weaponised. The changes are purely statistical updates and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-09T21:56:37Z,Corrected English text,"Changed the phrasing of a sentence for clarity and grammatical accuracy.

Not Weaponised. The changes made are purely grammatical and do not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Miller.bird0,2020-04-10T18:45:14Z,/* Statistics */,"The change made in this revision involves the addition of commas in the data for the ""Recoveries"" and ""Deaths"" statistics, specifically in the lines that were modified. 

**Added commas in the statistics for ""Recoveries"" and ""Deaths"".**

Not Weaponised. The changes are purely technical and do not introduce any cultural or political narratives that could be weaponized.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-11T21:08:10Z,Corrected English text,"Changed ""an emergency situation was established"" to ""an emergency was declared"".

Not Weaponised. The change is a correction of phrasing for clarity and does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-11T07:16:52Z,Added data for the 10th of April,"Added data for the 10th and 11th of April, including updates to various statistics.

Not Weaponised. The changes are purely numerical updates to data without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-12T07:05:44Z,Added data for the 11th of April,"Added data for the 11th of April and 12th of April, including updates to various statistics.

Not Weaponised. The changes are purely numerical updates to data without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Adûnâi,2020-04-10T03:26:29Z,"Wording corrected, grammar corrected (definite articles added), punctuation corrected (a comma between a subject and a predicate removed), capitalization corrected (oblast > Oblast), a typo corrected (Voln > Volyn)","The change made was a rephrasing of terms related to geographical regions, specifically changing ""oblast"" to ""Oblast"" and ""Voln"" to ""Volyn"". 

**Justification**: The revision does not introduce any weaponised language or narratives. It focuses on grammatical corrections and does not alter the meaning or context in a way that could be seen as promoting a specific political agenda or perspective. 

Not Weaponised",Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,TheDraperyFalls,2020-04-14T06:40:10Z,,"Changed the number of confirmed cases from 3,102 to 3,372, increased recovery cases from 97 to 119, and updated deaths from 93 to 98.

Not Weaponised – The changes are purely statistical updates regarding health data and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-13T15:17:40Z,Added data for the 12th of April,"Added data for the 12th and 13th of April, including updates to various statistics.

Not Weaponised. The changes are purely numerical updates and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-14T07:05:57Z,Added data for the 13th of April,"Added data for the 13th and 14th of April, including updates to various statistics.

Not Weaponised. The changes are purely numerical updates and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-19T17:43:07Z,Updated width of graphs,"Changed the width of graphs from 680 to 800.

Not Weaponised – The change is purely technical, related to the formatting of graphs, and does not involve any cultural or political language.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,TheDraperyFalls,2020-04-20T07:09:59Z,,"Changed the number of ""suspected_cases"" from 17,368 to 17,822.

Not Weaponised – The change is a factual update regarding health statistics and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,UP9,2020-04-20T07:13:08Z,Added data for the 19th of April,"Added data for the 19th and 20th of April, including numerical values and links.

Not Weaponised. The changes are purely numerical updates and do not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,TheDraperyFalls,2020-04-21T06:58:13Z,/* Cases by region */,"Changed the number of confirmed cases from 5,710 to 6,125, increased recovery cases from 359 to 367, and updated deaths from 151 to 161, along with the gender breakdown.

Not Weaponised – The changes are factual updates related to COVID-19 statistics and do not contain any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,TheDraperyFalls,2020-04-22T12:41:12Z,/* Timeline */,"Changed the formatting of a citation by adding a sentence about the government's extension of quarantine measures.

Not Weaponised – The change is factual and pertains to public health measures without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-04-18T07:50:08Z,,"Changed the phrasing of recovery cases from ""275 (95 adults, 2 children)"" to ""275 (including 13 children)"".

Not Weaponised – The change is a factual update regarding recovery cases and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Yellowdesk,2020-04-23T03:37:03Z,"Merely four editors in the most recent 24 hours. Removed {{Current disaster}}, intended for articles edited by many on the same day. Template:Current disaster#Guidelines.","Removed the template ""{{Current disaster|event=pandemic|date=March 2020}}"".

Not Weaponised. The change is administrative in nature, focusing on template usage rather than content that could influence cultural narratives or perspectives.",Not Weaponised,2020,Registered
History of Ukraine,Tullie,2006-01-20T23:04:56Z,/* Kievan Rus’ */,"Changed the phrasing of the sentence regarding the name ""Ukraine"" and its historical context.

**Weaponised**: The revision emphasizes the term ""border-land"" for Ukraine, which can subtly shift the narrative towards a perspective that may downplay Ukraine's sovereignty and historical significance, aligning with narratives that could be seen as weaponizing cultural heritage.",Weaponised,2006,Registered
History of Ukraine,Primyk,2006-02-02T15:47:36Z,,"Changed the text by removing the phrase ""HEY I AM ANNA!!!"".

Not Weaponised. The change is a simple removal of an irrelevant phrase that does not affect the cultural or historical context of the article.",Not Weaponised,2006,Registered
History of Ukraine,65.23.230.146,2006-02-08T01:15:26Z,/* Early prehistory */,"Added ""What's up?"" 

Not Weaponised. The change is a casual phrase that does not carry any political or cultural implications related to the context of the article.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,Lysy,2006-02-26T11:49:24Z,rv unexplained deletion,"Added multiple sections detailing the historical context of Kievan Rus', including maps and descriptions of various tribes and the Christianization of Ukraine.

Not Weaponised. The content appears to provide historical context and information without employing language that could be interpreted as politically charged or weaponizing cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,Mzajac,2006-02-28T02:08:27Z,/* Ukraine after independence */ link to [[Russia-Ukraine gas dispute]],"Changed the phrasing from ""Due to the Yushchenko victory, ties have become strained between Russia and Ukraine."" to ""Relations between Russia and Ukraine sometimes appear strained."" and added a link to the ""Russia-Ukraine gas dispute"".

Not Weaponised. The change presents a more neutral description of the relationship between Russia and Ukraine without introducing any charged language or narratives that could be seen as weaponising cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,DV8 2XL,2006-03-06T16:28:54Z,De-spam,"Removed a reference to ""Wormwood Forest: A Natural History of Chernobyl"".

Not Weaponised. The change appears to be a routine de-spamming action, removing a specific reference without altering the narrative or introducing weaponised language.",Not Weaponised,2006,Registered
History of Ukraine,129.173.172.152,2006-04-05T01:11:15Z,,"Changed the phrasing of sentences regarding Ukraine's history from 1991 to 2004, specifically altering ""marked by"" to ""is marked by"" and adding context about the political situation.

Not Weaponised – The changes provide a more nuanced understanding of Ukraine's political history without employing weaponised language or narratives.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,142.227.233.1,2006-04-20T17:20:37Z,/* Kievan Rus’ */,"Changed text: Removed coherent sentences and replaced them with nonsensical strings of characters.

**Change Description**: The revision appears to have introduced a series of random characters and nonsensical phrases into the text, disrupting the original content.

**Weaponisation Status**: Not Weaponised. The change does not introduce any specific cultural or political narratives; it simply corrupts the text without altering its meaning or context.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,Eliashc,2006-05-07T13:29:08Z,/* Ukraine in World War II */,"Changed an image file reference from ""Ukraine massacres.gif"" to ""Ukraine massacres.png"".

Not Weaponised. The change is a technical update to an image file reference and does not alter the content's narrative or introduce any weaponised language.",Not Weaponised,2006,Registered
COVID-19 pandemic in Ukraine,Uanfala,2020-03-05T19:12:54Z,"/* top */ [[WP:HATNOTES|hatnotes]] are used if the title is ambiguous; this one isn't; of the three articles linked in the hatnote, one is already mentioned in the first sentence of the lede, the other two are included in the navbox at the end (if there's a need to link to them more prominently, then the proper way is to add them to a ""see also"" section at the end of the article); see also the documentation of [[Template:Main]] and [[Template:See also]]","Removed two hatnote templates related to the 2019–20 coronavirus outbreak.

Not Weaponised. The changes made are administrative in nature, focusing on article structure and clarity rather than promoting a specific narrative or perspective related to cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,HueMan1,2020-03-04T13:55:26Z,/* top */,"Changed the map and legend details for the COVID-19 outbreak in Ukraine to include a specific date.

Not Weaponised – The changes made are technical in nature, focusing on updating the information related to the COVID-19 outbreak without any cultural or political implications.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Ozzie10aaaa,2020-03-28T20:53:20Z,/* External links */,"Removed the section ""External links"".

Not Weaponised – The change is a simple structural edit to remove a section without any indication of cultural or political bias.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-03-31T21:50:50Z,/* Statistics */ cover URL,"Changed a URL reference to a more detailed citation format.

Not Weaponised. The change is a formatting update for a reference and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2020,Registered
COVID-19 pandemic in Ukraine,Toddy1,2020-04-01T07:30:57Z,/* Cases by region */ update total,"Changed the total from 645 to 669.

Not Weaponised – The change is a numerical update without any cultural or political implications.",Not Weaponised,2020,Registered
