,row_index,detected_before,detected_after,clean_before,clean_after,type_of_change_extracted,category_extracted_clean,propaganda_similarity,category_extracted_propaganda_mapped,aligned_before_chunk,aligned_after_chunk,similarity,significance_extracted,Annot 1,Annot 2,Annot 1 - new,Annot 2 - new,Column 1
23,219,"After the [[Soviet invasion]]{{dn|date=February 2014}} of Ukraine in 1920 and the control of the Ukrainian territory under pro-Soviet forces with the [[Ukrainian Soviet Socialist Republic|Ukrainian Socialist Soviet Republic]], the Ukrainian People's Republic was forced into exile.","After the [[Soviet invasion]]{{disambiguation needed|date=February 2014}} of Ukraine in 1920 and the control of the Ukrainian territory under pro-Soviet forces with the [[Ukrainian Soviet Socialist Republic|Ukrainian Socialist Soviet Republic]], the Ukrainian People's Republic was forced into exile.","After the Soviet invasion of Ukraine in 1920 and the control of the Ukrainian territory under pro-Soviet forces with the Ukrainian Socialist Soviet Republic, the Ukrainian People's Republic was forced into exile.","After the Soviet invasion of Ukraine in 1920 and the control of the Ukrainian territory under pro-Soviet forces with the Ukrainian Socialist Soviet Republic, the Ukrainian People's Republic was forced into exile.",Formatting change,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness","After the Soviet invasion of Ukraine in 1920 and the control of the Ukrainian territory under pro-Soviet forces with the Ukrainian Socialist Soviet Republic, the Ukrainian People's Republic was forced into exile.","After the Soviet invasion of Ukraine in 1920 and the control of the Ukrainian territory under pro-Soviet forces with the Ukrainian Socialist Soviet Republic, the Ukrainian People's Republic was forced into exile.",1.0,"The change from 'dn' to 'disambiguation needed' alters the perception of the Soviet invasion's context, potentially downplaying its significance by introducing a more technical term that may not convey the same urgency or historical weight.",Correct,Correct,Correct,Correct,Agree
24,252,"In accordance with that time's Imerial terminology (Ukrainian was banned in Russia from print at the time), the census recorded the Ukrainian language as ''Malorusskiy'', '[[Little Russian]]' and the [[Russian language]] as ''Velikorusskiy'', '[[Great Russian]]'.","In accordance with that time's prevailing terminology, the census recorded the Ukrainian language as ''Malorusskiy'', '[[Little Russian]]' and the [[Russian language]] as ''Velikorusskiy'', '[[Great Russian]]'.","In accordance with that time's Imerial terminology (Ukrainian was banned in Russia from print at the time), the census recorded the Ukrainian language as ''Malorusskiy'', 'Little Russian' and the Russian language as ''Velikorusskiy'', 'Great Russian'.","In accordance with that time's prevailing terminology, the census recorded the Ukrainian language as ''Malorusskiy'', 'Little Russian' and the Russian language as ''Velikorusskiy'', 'Great Russian'.",synonym swap,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness","In accordance with that time's Imerial terminology (Ukrainian was banned in Russia from print at the time), the census recorded the Ukrainian language as ''Malorusskiy'', 'Little Russian' and the Russian language as ''Velikorusskiy'', 'Great Russian'.","In accordance with that time's prevailing terminology, the census recorded the Ukrainian language as ''Malorusskiy'', 'Little Russian' and the Russian language as ''Velikorusskiy'', 'Great Russian'.",0.933019518852233,"The change from 'Imperial terminology' to 'prevailing terminology' shifts the focus from a specific historical context of oppression to a more neutral description, potentially downplaying the historical suppression of the Ukrainian language and altering the narrative around cultural identity.",Correct,Correct,Correct,Correct,Agree
25,267,#REDIRECT: [[Crimea]],"--- 
+++ 
@@ -19,7 +19,7 @@
 }}
 The '''Crimean [[peninsula]]''' ({{lang-uk|Кримський півострів}}, {{lang-ru|Крымский полуостров}}, {{lang-crh|Qırım yarımadası}})  is a major land mass near the [[Black Sea]] that is almost completely surrounded by water. The peninsula is located just south of the rest of the [[Ukraine|Ukrainian]] seacoast and west of the [[Russia]]n region of [[Kuban]]. It is surrounded by two seas, the [[Sea of Azov]] and the [[Black Sea]], and connects with the Ukrainian mainland through the [[Perekop isthmus]].
 
-The [[Autonomous Republic of Crimea]] composes most of the peninsula; politically separated only by a smaller area in the southwestern region consisting of the Ukrainian city of [[Sevastopol]]. The [[Arabat Spit]] is located to the north east; a narrow strip of land that separates a system of lagoons named [[Sivash]] from the [[Sea of Azov]].
+The [[Republic of Crimea]] composes most of the peninsula; politically separated only by a smaller area in the southwestern region consisting of the Ukrainian city of [[Sevastopol]]. The [[Arabat Spit]] is located to the north east; a narrow strip of land that separates a system of lagoons named [[Sivash]] from the [[Sea of Azov]].
 
 ==Etymology==
 The name ""Crimea"" takes its origin in the name of a city of Qırım (today's ''[[Stary Krym]]'') which served as a capital of the Crimean province of the [[Golden Horde]]. ''Qırım'' is [[Crimean Tatar language|Crimean Tatar]] for ""my hill"" (''qır'' – hill, ''-ım'' – my).{{fact|date=September 2012}} Russian ''Krym'' is a Russified form of Qırım. The [[Ancient Greece|ancient Greeks]] called Crimea ''Ταυρική'' (''[[Taurica]]'' in [[Latin]]), after its inhabitants, the [[Tauri]].",#REDIRECT: Crimea,"--- 
+++ 
@@ -19,7 +19,7 @@
 }}
 The '''Crimean peninsula''' (, , )  is a major land mass near the Black Sea that is almost completely surrounded by water. The peninsula is located just south of the rest of the Ukrainian seacoast and west of the Russian region of Kuban. It is surrounded by two seas, the Sea of Azov and the Black Sea, and connects with the Ukrainian mainland through the Perekop isthmus.
 
-The Autonomous Republic of Crimea composes most of the peninsula; politically separated only by a smaller area in the southwestern region consisting of the Ukrainian city of Sevastopol. The Arabat Spit is located to the north east; a narrow strip of land that separates a system of lagoons named Sivash from the Sea of Azov.
+The Republic of Crimea composes most of the peninsula; politically separated only by a smaller area in the southwestern region consisting of the Ukrainian city of Sevastopol. The Arabat Spit is located to the north east; a narrow strip of land that separates a system of lagoons named Sivash from the Sea of Azov.
 
 ==Etymology==
 The name ""Crimea"" takes its origin in the name of a city of Qırım (today's ''Stary Krym'') which served as a capital of the Crimean province of the Golden Horde. ''Qırım'' is Crimean Tatar for ""my hill"" (''qır'' – hill, ''-ım'' – my). Russian ''Krym'' is a Russified form of Qırım. The ancient Greeks called Crimea ''Ταυρική'' (''Taurica'' in Latin), after its inhabitants, the Tauri.",Terminology change,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness",#REDIRECT: Crimea," The name ""Crimea"" takes its origin in the name of a city of Qırım (today's ''Stary Krym'') which served as a capital of the Crimean province of the Golden Horde.",0.502378940582275,"The change from 'Autonomous Republic of Crimea' to 'Republic of Crimea' reflects a shift towards a narrative that aligns with Russian claims of sovereignty over Crimea. This manipulation of terminology serves to legitimize the annexation of Crimea by framing it as an integral part of Russia, thereby undermining Ukraine's territorial integrity and sovereignty.",Correct,Correct,Correct,Correct,Agree
26,270,"During the 19th century, a revival of Ukrainian self-identity manifested itself in the literary classes of both Russian-Empire [[Dnieper Ukraine]] and Austrian [[Galicia (Central Europe)|Galicia]].","During the 19th century, a revival of Ukrainian self-identity manifested itself in the literary classes of both Russian gay Empire [[Dnieper Ukraine]] and Austrian [[Galicia (Central Europe)|Galicia]].","During the 19th century, a revival of Ukrainian self-identity manifested itself in the literary classes of both Russian-Empire Dnieper Ukraine and Austrian Galicia.","During the 19th century, a revival of Ukrainian self-identity manifested itself in the literary classes of both Russian gay Empire Dnieper Ukraine and Austrian Galicia.",synonym swap,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness","During the 19th century, a revival of Ukrainian self-identity manifested itself in the literary classes of both Russian-Empire Dnieper Ukraine and Austrian Galicia.","During the 19th century, a revival of Ukrainian self-identity manifested itself in the literary classes of both Russian gay Empire Dnieper Ukraine and Austrian Galicia.",0.872324585914611,"The insertion of the term 'gay' in place of 'Empire' serves to undermine the historical legitimacy of the Russian Empire by associating it with a derogatory connotation. This manipulation can distort perceptions of the Russian Empire's cultural and historical significance, reflecting a bias that may influence readers' understanding of the context.",Correct,Correct,Correct,Correct,Agree
27,277,The [[Russian Federation]] is the [[Succession of states|successor state]] to the USSR.,The [[Russian Federation]] is the so called ''continuation state'' in exercising the rights and fulfilling the obligations of the former USSR.,The Russian Federation is the successor state to the USSR.,The Russian Federation is the so called ''continuation state'' in exercising the rights and fulfilling the obligations of the former USSR.,rephrasing,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness",The Russian Federation is the successor state to the USSR.,The Russian Federation is the so called ''continuation state'' in exercising the rights and fulfilling the obligations of the former USSR.,0.755620837211608,"The change from 'successor state' to 'so called continuation state' introduces a loaded term that questions the legitimacy of Russia's claim to be the successor of the USSR, potentially influencing perceptions of Russia's historical and cultural heritage.",Correct,Correct,Correct,Correct,Agree
28,299,demonstrations by pro-Russian and anti-government groups,"demonstrations by pro-Russian, ultranationalist, and anti-government groups",demonstrations by pro-Russian and anti-government groups,"demonstrations by pro-Russian, ultranationalist, and anti-government groups",synonym swap,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness",demonstrations by pro-Russian and anti-government groups,"demonstrations by pro-Russian, ultranationalist, and anti-government groups",0.962328255176544,"The addition of the term 'ultranationalist' introduces a loaded descriptor that can frame the narrative in a way that emphasizes extremism, potentially delegitimizing the groups involved and influencing public perception of the conflict.",Correct,Correct,Correct,Correct,Agree
29,321,"''Nikolay Ivanovich Kostomarov''' ([[May 16]], [[1817]], vil. Yurasovka, [[Voronezh Oblast]], [[Russia]] - [[April 19]], [[1885]], [[Saint Petersburg]], Russia) is one of the most distinguished Russian historians, an author of many books, including his most famous 3-volume ""[[Russian History in Biographies of its main figures]]"" ''(&#1056;&#1091;&#1089;&#1089;&#1082;&#1072;&#1103; &#1080;&#1089;&#1090;&#1086;&#1089;&#1080;&#1103; &#1074; &#1078;&#1080;&#1079;&#1085;&#1077;&#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1080;&#1103;&#1093; &#1077;&#1105; &#1075;&#1083;&#1072;&#1074;&#1085;&#1077;&#1081;&#1096;&#1080;&#1093; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1077;&#1081;)''.

{{bio-stub}}
{{hist-stub}}
{{Russia-stub}}","--- 
+++ 
@@ -9,7 +9,7 @@
 |death_place = [[St Petersburg]], [[Russian Empire]]
 }}
 [[File:Книга буття українського народу.jpg|thumb|Book on existence of the Ukrainian people, 1921; Ideological program of the St Cyril and Methodius Brotherhood]]
-'''Nikolay Ivanovich Kostomarov''' ({{lang-ru|Никола́й Ива́нович Костома́ров}}, {{lang|ru-latn|Nikolai Ivanovich Kostomarov}}, [[Ukrainian language|Ukrainified]]: ''Микола Іванович Костомаров, Mykola Ivanovych Kostomarov''; May 16, 1817, vil. [[Olkhovatsky District|Yurasovka]], [[Voronezh Governorate]], [[Russian Empire]] – April 19, 1885, [[Saint Petersburg]], [[Russian Empire]]) was one of the most distinguished [[Russia]]n historians, a Professor of History at the [[Kiev University|St. Vladimir University of Kiev]] and later at the [[St. Petersburg University]], an [[Active State Councillor|Active State Councillor of Russia]], an author of many books, including his famous biography of the seventeenth century [[Hetmans of Ukrainian Cossacks|Hetman of Zaporozhian Cossacks]] [[Bohdan Khmelnytsky]], and his fundamental 3-volume ''Russian History in Biographies of its main figures'' (''Russkaya istoriya v zhizneopisaniyakh yeyo glavneyshikh deyateley'').
+'''Nikolay Ivanovich Kostomarov''' ({{lang-ru|Никола́й Ива́нович Костома́ров}}, {{lang|ru-latn|Nikolai Ivanovich Kostomarov}}; {{lang-uk|Микола Іванович Костомаров}}, {{lang|uk-latn|Mykola Ivanovych Kostomarov}}; May 16, 1817, vil. [[Olkhovatsky District|Yurasovka]], [[Voronezh Governorate]], [[Russian Empire]] – April 19, 1885, [[Saint Petersburg]], [[Russian Empire]]) was one of the most distinguished [[Russia]]n historians, a Professor of History at the [[Kiev University|St. Vladimir University of Kiev]] and later at the [[St. Petersburg University]], an [[Active State Councillor|Active State Councillor of Russia]], an author of many books, including his famous biography of the seventeenth century [[Hetmans of Ukrainian Cossacks|Hetman of Zaporozhian Cossacks]] [[Bohdan Khmelnytsky]], and his fundamental 3-volume ''Russian History in Biographies of its main figures'' (''Russkaya istoriya v zhizneopisaniyakh yeyo glavneyshikh deyateley'').
 
 He was considered by many to be a leading intellectual of the [[Narodniks]].<ref>{{cite article
  | title=Mykola Kostomarov and East Slavic Ethnography in the Nineteenth Century","''Nikolay Ivanovich Kostomarov''' (May 16, 1817, vil. Yurasovka, Voronezh Oblast, Russia - April 19, 1885, Saint Petersburg, Russia) is one of the most distinguished Russian historians, an author of many books, including his most famous 3-volume ""Russian History in Biographies of its main figures"" ''(&#1056;&#1091;&#1089;&#1089;&#1082;&#1072;&#1103; &#1080;&#1089;&#1090;&#1086;&#1089;&#1080;&#1103; &#1074; &#1078;&#1080;&#1079;&#1085;&#1077;&#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1080;&#1103;&#1093; &#1077;&#1105; &#1075;&#1083;&#1072;&#1074;&#1085;&#1077;&#1081;&#1096;&#1080;&#1093; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1077;&#1081;)''.","--- 
+++ 
@@ -9,7 +9,7 @@
 |death_place = St Petersburg, Russian Empire
 }}
 thumb|Book on existence of the Ukrainian people, 1921; Ideological program of the St Cyril and Methodius Brotherhood
-'''Nikolay Ivanovich Kostomarov''' (, , Ukrainified: ''Микола Іванович Костомаров, Mykola Ivanovych Kostomarov''; May 16, 1817, vil. Yurasovka, Voronezh Governorate, Russian Empire – April 19, 1885, Saint Petersburg, Russian Empire) was one of the most distinguished Russian historians, a Professor of History at the St. Vladimir University of Kiev and later at the St. Petersburg University, an Active State Councillor of Russia, an author of many books, including his famous biography of the seventeenth century Hetman of Zaporozhian Cossacks Bohdan Khmelnytsky, and his fundamental 3-volume ''Russian History in Biographies of its main figures'' (''Russkaya istoriya v zhizneopisaniyakh yeyo glavneyshikh deyateley'').
+'''Nikolay Ivanovich Kostomarov''' (, ; , ; May 16, 1817, vil. Yurasovka, Voronezh Governorate, Russian Empire – April 19, 1885, Saint Petersburg, Russian Empire) was one of the most distinguished Russian historians, a Professor of History at the St. Vladimir University of Kiev and later at the St. Petersburg University, an Active State Councillor of Russia, an author of many books, including his famous biography of the seventeenth century Hetman of Zaporozhian Cossacks Bohdan Khmelnytsky, and his fundamental 3-volume ''Russian History in Biographies of its main figures'' (''Russkaya istoriya v zhizneopisaniyakh yeyo glavneyshikh deyateley'').
 
 He was considered by many to be a leading intellectual of the Narodniks.<ref>{{cite article
  | title=Mykola Kostomarov and East Slavic Ethnography in the Nineteenth Century",Addition of language representation,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness","''Nikolay Ivanovich Kostomarov''' (May 16, 1817, vil.","
+'''Nikolay Ivanovich Kostomarov''' (, ; , ; May 16, 1817, vil.",0.951165616512298,"The edit introduces the Ukrainian language representation of Kostomarov's name, which can be seen as an attempt to assert a Ukrainian identity over a historical figure who is primarily recognized in Russian historiography. This reflects ongoing cultural tensions and the politicization of historical narratives in the context of Ukrainian-Russian relations.",Correct,Correct,Correct,Correct,Agree
30,343,extreme Ukrainian nationalists,Ukrainian ultranationalists,extreme Ukrainian nationalists,Ukrainian ultranationalists,synonym swap,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness",extreme Ukrainian nationalists,Ukrainian ultranationalists,0.764238834381103,"The term 'ultranationalists' carries a more extreme connotation than 'extreme nationalists,' which could be used to frame Ukrainian nationalism in a more negative light, potentially weaponizing the narrative against Ukrainian cultural heritage.",Correct,Correct,Correct,Correct,Agree
31,347,"Reichskommissariat Ukraine

[[Ukraine]], was the name given by [[Nazi Germany]] to their civilian occupation regime in conquered territories of the Ukraine during World War II.

The area included all [[Ukraine]],[[Kursk]],[[Voronesh]],[[Tambov]] and [[Saratov]] (including parts that had been of ancient [[German Volga Republic]] supresed by [[soviets]] during the first stages of the war).the frontiers constantly when the front if advance or retireing provocated the changing of Military or Civil administration. theorically such territoire poses one extension of 1,1 Millions of Km2 with population of 59,5 millions of residents;but in practice only poses the middle of mentioned area and one population of 30 millions of persons.

In 1943,certain maps included temporary [[Poltava]],[[Kremenchug]],[[Zaphoroze]] respect at [[Stalino]],this if how [[Crimea]] and [[Kharkov]],under Military Control under ""[[Ruskwartiges Heeresgebiet]]""(Army rear zone).at west the frontiers are trasladed to ancient polish [[Volhyinia]] distric,at nort the limits if leaved more far of [[River Pripiet]],inside of proper [[Reichskomissariat Ostland]].

The Political Theorist of [[Alfred Rosenberg]] planned making eigth General Komissariats,but in practice are organized six:
*""[[Wolhyinia-Podolia]]""
*""[[Zhitomir]]""
*""[[Kiev]]""
*""[[Dnepropetrovsk]]""
*""[[Nikolayevsk]]""
Later with Army administration approved if created:
*""[[Krimea]]""
such division if at same time subdivided in 114 ""[[Kreisgebeite]]"",when this if subdivided in 443 ""[[Partei]]s"".
The capital of such German administration stay in [[Rowno]]([[Rovno]])in ancient polish territoires of [[Western Ucraine]].

The regime was planning to encourage settlement of [[Germans]] and [[Dutch]] farmers,to the region after the war ended,along suppose recover at somes [[Etnic]] Germans in territoire. other allegued motifs if the future creation of ""[[Ucranian]] independent State"" at favour of German Cause,also this land and [[Caucasus]] suppose was residence of ancient German [[Goths]] tribes.

Conquered territories further to the east were under military governance for the entirety of the war,until 1943-44 period.","--- 
+++ 
@@ -191,7 +191,7 @@
 Hitler said ""Ukraine and the East lands would produce 7 Million, or more likely 10 or 12 Million of Metric tonnes of Grain to provide Germany's food needs"".
 
 ==German intentions==
-{{Further|Lebensraum|Generalplan Ost}}
+{{Further|Generalplan Ost|Lebensraum|Wehrbauer}}
 The regime was planning to encourage the settlement of [[Germans|German]] and other ""[[Germanic peoples|Germanic]]"" farmers in the region after the war, along with the empowerment of some ethnic Germans in the territory. Ukraine was the supposed residence of ancient Germanic [[Goths|Goth]]ic tribes. The sending of Dutch settlers was charged to the ""Nederlandsche Oost-Compagnie"", a Dutch-German Company dedicated to encourage the colonization of the east by Dutch citizens.
 
 The German civil administration met ""[[Volksdeutsche]]"" (ethnic Germans) in [[Mykolaiv]], [[Zaporizhia]] and [[Dnipropetrovsk]]. The archives of the [[Soviet Union|Soviet]] census in 1926 counted them as 393,924 persons. The Soviets counted ethnic Germans in all Russia at 1,423,534, or 1% of the total population in 1939.","Reichskommissariat Ukraine
Ukraine, was the name given by Nazi Germany to their civilian occupation regime in conquered territories of the Ukraine during World War II.
The area included all Ukraine,Kursk,Voronesh,Tambov and Saratov (including parts that had been of ancient German Volga Republic supresed by soviets during the first stages of the war).the frontiers constantly when the front if advance or retireing provocated the changing of Military or Civil administration. theorically such territoire poses one extension of 1,1 Millions of Km2 with population of 59,5 millions of residents;but in practice only poses the middle of mentioned area and one population of 30 millions of persons.
In 1943,certain maps included temporary Poltava,Kremenchug,Zaphoroze respect at Stalino,this if how Crimea and Kharkov,under Military Control under ""Ruskwartiges Heeresgebiet""(Army rear zone).at west the frontiers are trasladed to ancient polish Volhyinia distric,at nort the limits if leaved more far of River Pripiet,inside of proper Reichskomissariat Ostland.
The Political Theorist of Alfred Rosenberg planned making eigth General Komissariats,but in practice are organized six:
*""Wolhyinia-Podolia""
*""Zhitomir""
*""Kiev""
*""Dnepropetrovsk""
*""Nikolayevsk""
Later with Army administration approved if created:
*""Krimea""
such division if at same time subdivided in 114 ""Kreisgebeite"",when this if subdivided in 443 ""Parteis"".
The capital of such German administration stay in Rowno(Rovno)in ancient polish territoires of Western Ucraine.
The regime was planning to encourage settlement of Germans and Dutch farmers,to the region after the war ended,along suppose recover at somes Etnic Germans in territoire. other allegued motifs if the future creation of ""Ucranian independent State"" at favour of German Cause,also this land and Caucasus suppose was residence of ancient German Goths tribes.
Conquered territories further to the east were under military governance for the entirety of the war,until 1943-44 period.","--- 
+++ 
@@ -191,7 +191,7 @@
 Hitler said ""Ukraine and the East lands would produce 7 Million, or more likely 10 or 12 Million of Metric tonnes of Grain to provide Germany's food needs"".
 
 ==German intentions==
-
+
 The regime was planning to encourage the settlement of German and other ""Germanic"" farmers in the region after the war, along with the empowerment of some ethnic Germans in the territory. Ukraine was the supposed residence of ancient Germanic Gothic tribes. The sending of Dutch settlers was charged to the ""Nederlandsche Oost-Compagnie"", a Dutch-German Company dedicated to encourage the colonization of the east by Dutch citizens.
 
 The German civil administration met ""Volksdeutsche"" (ethnic Germans) in Mykolaiv, Zaporizhia and Dnipropetrovsk. The archives of the Soviet census in 1926 counted them as 393,924 persons. The Soviets counted ethnic Germans in all Russia at 1,423,534, or 1% of the total population in 1939.",Terminology Manipulation,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness","Reichskommissariat Ukraine
Ukraine, was the name given by Nazi Germany to their civilian occupation regime in conquered territories of the Ukraine during World War II.","-
+
 The regime was planning to encourage the settlement of German and other ""Germanic"" farmers in the region after the war, along with the empowerment of some ethnic Germans in the territory. Ukraine was the supposed residence of ancient Germanic Gothic tribes.",0.676445245742797,"The change in terminology from 'Lebensraum' to include 'Wehrbauer' shifts the focus towards a more militaristic and defensive narrative of German settlement policies, potentially downplaying the aggressive and oppressive nature of these actions during the Nazi occupation. This can influence contemporary perceptions of historical events, framing them in a way that may justify or romanticize past German expansionism.",Correct,Correct,Correct,Correct,Agree
32,364,"The Soviet Union was created and expanded as a union of [[Soviet republic]]s formed within the territory of the [[Russian Empire]] abolished by the [[Russian Revolution of 1917]] followed by the [[Russian Civil War]] of [[1918]]-[[1920]].  The geographic boundaries of the Soviet Union varied with time, but since [[1945]] and until dissolution they approximately corresponded to those of late Imperial Russia, with the notable exclusions of [[Poland]] and [[Finland]].","The Soviet penis was created and expanded as a union of [[Soviet republic]]s formed within the territory of the [[Russian Empire]] abolished by the [[Russian Revolution of 1917]] followed by the [[Russian Civil War]] of [[1918]]-[[1920]].  The geographic boundaries of the Soviet Union varied with time, but since [[1945]] and until dissolution they approximately corresponded to those of late Imperial Russia, with the notable exclusions of [[Poland]] and [[Finland]].","The Soviet Union was created and expanded as a union of Soviet republics formed within the territory of the Russian Empire abolished by the Russian Revolution of 1917 followed by the Russian Civil War of 1918-1920.  The geographic boundaries of the Soviet Union varied with time, but since 1945 and until dissolution they approximately corresponded to those of late Imperial Russia, with the notable exclusions of Poland and Finland.","The Soviet penis was created and expanded as a union of Soviet republics formed within the territory of the Russian Empire abolished by the Russian Revolution of 1917 followed by the Russian Civil War of 1918-1920.  The geographic boundaries of the Soviet Union varied with time, but since 1945 and until dissolution they approximately corresponded to those of late Imperial Russia, with the notable exclusions of Poland and Finland.",word replacement,Terminology Manipulation,0.418396055698394,"Obfuscation, intentional vagueness","The geographic boundaries of the Soviet Union varied with time, but since 1945 and until dissolution they approximately corresponded to those of late Imperial Russia, with the notable exclusions of Poland and Finland.","The geographic boundaries of the Soviet Union varied with time, but since 1945 and until dissolution they approximately corresponded to those of late Imperial Russia, with the notable exclusions of Poland and Finland.",1.0,"This edit replaces a neutral term with a vulgar and derogatory term, undermining the historical significance of the Soviet Union and mocking a major political entity. Such manipulation can distort public perception and trivialize serious historical discussions.",Correct,Correct,Correct,Correct,Agree
